


FMA3 instructions


Latency (all operands): vfmadd132ss r128,r128,r128

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
     37609      40170      10227      10147      10127       5012          0 
     37579      40040      10227      10132      10131       5004          0 
     37484      40073      10227      10133      10127       5014          0 
     37946      40428      10227      10219      10165       5029          0 
     37484      40025      10227      10129      10127       4990          0 
     37591      40088      10227      10146      10139       5015          0 
     37789      40367      10227      10215      10167       5021          0 
     37566      40062      10227      10128      10127       4992          0 
     37542      40077      10227      10134      10129       5019          0 
     37533      40099      10227      10134      10127       5024          0 


Latency (all operands): vfmadd231ss r128,r128,r128

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
     35216      40176      10227      10136      10127       4999          0 
     35045      39991      10227      10134      10127       4998          0 
     35105      39991      10227      10142      10127       4999          0 
     35015      39991      10227      10127      10127       4999          0 
     35114      39992      10227      10127      10127       4999          0 
     35035      39991      10227      10127      10127       4999          0 
     35075      39991      10227      10127      10127       4999          0 
     35083      39991      10227      10127      10127       4999          0 
     35025      39991      10227      10127      10127       4999          0 
     35115      39992      10227      10127      10127       4999          0 


Latency (all operands): vfmadd132sd r128,r128,r128

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
     36186      41231      10227      10136      10127       4999          0 
     35053      39991      10227      10134      10127       4998          0 
     35052      39991      10227      10133      10127       4997          0 
     35102      39991      10227      10142      10127       4999          0 
     35016      39992      10227      10127      10127       4999          0 
     35115      39992      10227      10127      10127       4999          0 
     35028      39991      10227      10127      10127       4999          0 
     35081      39991      10227      10127      10127       4999          0 
     35081      39991      10227      10127      10127       4999          0 
     35028      39991      10227      10127      10127       4999          0 


Latency (all operands): vfmsub132sd r128,r128,r128

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
     35164      40147      10227      10136      10127       4999          0 
     35113      39992      10227      10134      10127       4999          0 
     35018      39991      10227      10142      10127       4999          0 
     35099      39991      10227      10127      10127       4999          0 
     35058      39991      10227      10127      10127       4999          0 
     35046      39992      10227      10127      10127       4999          0 
     35106      39992      10227      10127      10127       4999          0 
     35018      39991      10227      10127      10127       4999          0 
     35115      39991      10227      10127      10127       4999          0 
     35034      39991      10227      10127      10127       4999          0 


Latency (all operands): vfnmadd132sd r128,r128,r128

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
     34175      40196      10227      10136      10127       4999          0 
     33926      39991      10227      10142      10127       4999          0 
     34017      39991      10227      10143      10127       4999          0 
     33936      39992      10227      10127      10127       4999          0 
     33975      39991      10227      10127      10127       4999          0 
     33991      39991      10227      10127      10127       4999          0 
     33926      39991      10227      10127      10127       4999          0 
     34017      39991      10227      10127      10127       4999          0 
     33930      39992      10227      10127      10127       4999          0 
     33984      39992      10227      10127      10127       4999          0 


Latency (all operands): vfnmsub132sd r128,r128,r128

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
     35252      40246      10227      10145      10127       4990          0 
     35112      39991      10227      10139      10127       4992          0 
     35016      39991      10227      10139      10127       4994          0 
     35103      39992      10227      10135      10127       4992          0 
     35044      39992      10227      10129      10127       4992          0 
     35056      39991      10227      10129      10127       4992          0 
     35099      39991      10227      10129      10127       4992          0 
     35018      39991      10227      10129      10127       4992          0 
     35114      39991      10227      10129      10127       4992          0 
     35028      39991      10227      10129      10127       4992          0 


