Floatint point vector instructions latency and throughput


Instructions with two operands, without VEX


Latency: movaps r128,r128

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      4893       5221      10227      10145      10127       1659       4942 
      4766       5088      10227      10166      10127       1672       4913 
      4752       5077      10227      10173      10127       1670       4924 
      4716       5045      10227      10142      10127       1658       4957 
      4726       5046      10227      10146      10127       1661       4958 
      4724       5045      10227      10146      10127       1661       4958 
      4728       5045      10227      10146      10127       1661       4958 
      4730       5046      10227      10146      10127       1661       4958 
      4734       5046      10227      10146      10127       1661       4958 
      4736       5045      10227      10146      10127       1661       4958 


Throughput: movaps r128,r128

     Clock   Core cyc   Instruct       Uops     uop p0     uop p1     uop p2 
      2628       2796      10227      10127       1966       2016          0 
      2434       2587      10227      10127       1917       1988          0 
      2434       2588      10227      10127       1966       2019          0 
      2431       2587      10227      10127       1938       2006          0 
      2433       2593      10227      10127       1927       1986          0 
      2404       2560      10227      10127       1920       1981          0 
      2399       2557      10227      10127       1920       1981          0 
      2398       2556      10227      10127       1920       1981          0 
      2397       2558      10227      10127       1920       1981          0 
      2397       2556      10227      10127       1920       1981          0 

     Clock   Core cyc   Instruct       Uops     uop p3     uop p4     uop p5 
      3050       4024      10227      10127          2          0       1994 
      2930       3225      10227      10129          1          0       2217 
      2948       3273      10227      10150         -1          0       2168 
      3397       3758      10227      10132          2          0       1870 
      3208       3589      10227      10127          2          0       2194 
      3292       3656      10227      10129         -1          0       1769 
      3748       4144      10227      10133          2          0       1728 
      3648       4030      10227      10133          1          0       1715 
      3806       4248      10227      10173         -1          1       2066 
      2867       3168      10227      10129          1          0       2124 

     Clock   Core cyc   Instruct       Uops     uop p6     uop p7   uops RAT 
      4004       4277      10227      10127        103          0      10157 
      2391       2556      10227      10127        100          0      10154 
      2395       2556      10227      10127        100          0      10154 
      2399       2558      10227      10127        100          0      10154 
      2400       2557      10227      10127        100          0      10154 
      2397       2556      10227      10127        100          0      10154 
      2400       2556      10227      10127        100          0      10154 
      2399       2556      10227      10127        100          0      10154 
      2402       2556      10227      10127        100          0      10154 
      2401       2558      10227      10127        100          0      10154 


Throughput: movaps r128,[m]

     Clock   Core cyc   Instruct       Uops     uop p0     uop p1     uop p2 
      4962       5291      10227      10128          0          0       5000 
      4729       5040      10227      10127          0          0       5000 
      4740       5048      10227      10127          0          0       5000 
      4722       5024      10227      10127          0          0       5000 
      4724       5024      10227      10127          0          0       5000 
      4718       5025      10227      10127          0          0       5000 
      4716       5025      10227      10127          0          0       5000 
      4713       5028      10227      10127          0          0       5000 
      4709       5025      10227      10127          0          0       5000 
      4705       5025      10227      10127          0          0       5000 

     Clock   Core cyc   Instruct       Uops     uop p3     uop p4     uop p5 
      4905       5228      10227      10127       5000          0          1 
      4736       5043      10227      10127       5000          0          1 
      4739       5044      10227      10127       5000          0          1 
      4735       5036      10227      10127       5000          0          1 
      4727       5037      10227      10127       5000          0          1 
      4713       5025      10227      10127       5000          0          1 
      4711       5024      10227      10127       5000          0          1 
      4708       5025      10227      10127       5000          0          1 
      4704       5024      10227      10127       5000          0          1 
      4701       5025      10227      10127       5000          0          1 

     Clock   Core cyc   Instruct       Uops     uop p6     uop p7   uops RAT 
      4934       5272      10227      10127        111          0      10165 
      4722       5049      10227      10127        111          0      10165 
      4722       5049      10227      10127        111          0      10165 
      4720       5041      10227      10127        111          0      10165 
      4724       5041      10227      10127        111          0      10161 
