Test miscellaneous vector instructions


Throughput unaligned read movdqu xmm,[m]

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      5020       5547      10211      10145      10111          0          0 
      4555       5036      10211      10161      10115          0          0 
      4546       5028      10211      10158      10115          0          0 
      4534       5014      10211      10125      10115          0          0 
      4536       5013      10211      10125      10115          0          0 
      4540       5017      10211      10133      10115          0          0 
      4542       5013      10211      10129      10115          0          0 
      4544       5014      10211      10129      10115          0          0 
      4546       5014      10211      10125      10115          0          0 
      4552       5014      10211      10125      10115          0          0 


Throughput unaligned write movdqu [m],xmm

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      8975      10215      10211      10159      20111          0          0 
      8778      10001      10211      10152      20115          0          0 
      8771      10003      10211      10151      20115          0          0 
      8761      10001      10211      10155      20115          0          0 
      8751       9999      10211      10119      20115          0          0 
      8755       9999      10211      10119      20115          0          0 
      8765       9999      10211      10119      20115          0          0 
      8775      10000      10211      10119      20115          0          0 
      8786       9999      10211      10119      20115          0          0 
      8788       9999      10211      10119      20115          0          0 


Latency unaligned write+read movdqu [m],xmm / movdqu xmm,[m]

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
     57891      61835      20211      20134      30117         20          0 
     57217      61097      20211      20138      30113         14          0 
     57422      61245      20211      20145      30121          7          0 
     57379      61347      20211      20218      30152         -3          0 
     60539      64591      20211      21175      30396         40          0 
     61845      65936      20211      20461      30223         27          0 
     63415      67753      20211      20761      30321         31          0 
     59225      63181      20211      20622      30293         37          0 
     60037      64047      20211      20916      30373         35          0 
     57565      61329      20211      20394      30229         18          0 


Throughput unaligned read movups xmm,[m]

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      5897       7155      10211      10131      10111          3          0 
      5731       6839      10211      10117      10111        -14          0 
      5722       6820      10211      10116      10111         -8          0 
      5684       6775      10211      10115      10111          2          0 
      5557       6850      10211      10116      10111        -15          0 
      5023       5977      10211      10124      10111          3          0 
      5258       6242      10211      10120      10111          6          0 
      5125       6076      10211      10122      10111        -16          0 
      5725       6827      10211      10117      10111         -6          0 
      5806       6913      10211      10117      10111        -15          0 


Throughput unaligned write movups [m],xmm

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      9023      10279      10211      10160      20111          0          0 
      8792      10004      10211      10142      20111          0          0 
      8788      10007      10211      10143      20111          0          0 
      8777      10004      10211      10146      20111          0          0 
      8765       9998      10211      10115      20111          0          0 
      8759      10002      10211      10115      20111          0          0 
      8751       9999      10211      10115      20111          0          0 
      8761      10001      10211      10115      20111          0          0 
      8771      10000      10211      10115      20111          0          0 
      8782      10002      10211      10115      20111          0          0 


Latency unaligned write+read movups [m],xmm / movups xmm,[m]

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
     44092      50264      20211      20213      30113          0          0 
     43824      50000      20211      20139      30111          0          0 
     43885      50011      20211      20147      30111          0          0 
     43816      50005      20211      20142      30111          0          0 
     43888      50006      20211      20142      30111          0          0 
     43816      50016      20211      20111      30111          0          0 
     43900      50013      20211      20119      30111          0          0 
     43811      50013      20211      20119      30111          0          0 
     43888      49997      20211      20119      30111          0          0 
     43806      50012      20211      20119      30111          0          0 


Throughput unaligned read movupd xmm,[m]

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      4827       5491      10211      10135      10111          0          0 
      4421       5031      10211      10161      10115          0          0 
      4417       5028      10211      10158      10115          0          0 
      4413       5031      10211      10162      10115          0          0 
      4399       5015      10211      10133      10115          0          0 
      4391       5012      10211      10129      10115          0          0 
      4397       5017      10211      10129      10115          0          0 
      4393       5017      10211      10133      10115          0          0 
      4386       5015      10211      10125      10115          0          0 
      4387       5013      10211      10125      10115          0          0 


Throughput unaligned write movupd [m],xmm

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      8967      10237      10211      10159      20111          0          0 
      8752      10001      10211      10152      20115          0          0 
      8760      10002      10211      10155      20115          0          0 
      8768      10001      10211      10155      20115          0          0 
      8776       9999      10211      10119      20115          0          0 
      8788       9999      10211      10119      20115          0          0 
      8787      10000      10211      10119      20115          0          0 
      8776       9999      10211      10119      20115          0          0 
      8768       9999      10211      10119      20115          0          0 
      8754       9999      10211      10119      20115          0          0 


Latency unaligned write+read movupd [m],xmm / movupd xmm,[m]

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
     42807      50435      20211      20128      30111          0          0 
     42599      50110      20211      20142      30111          0          0 
     42451      50020      20211      20111      30111          0          0 
     42514      50005      20211      20115      30111          0          0 
     65643      57929      20212      20641      30411         68          0 
     42843      50412      20211      20184      30153          3          0 
     42463      50029      20211      20111      30111          0          0 
     42512      50005      20211      20111      30111          0          0 
     42442      50006      20211      20111      30111          0          0 
     42510      50005      20211      20111      30111          0          0 


Throughput unaligned read vmovdqu xmm,[m]

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      5629       6669      10211      10130      10111          0          0 
      4569       5039      10211      10152      10111          0          0 
      4568       5040      10211      10153      10111          0          0 
      4562       5037      10211      10153      10111          0          0 
      4546       5019      10211      10126      10111          0          0 
      4546       5025      10211      10126      10111          0          0 
      4542       5021      10211      10126      10111          0          0 
      4540       5019      10211      10126      10111          0          0 
      4548       5024      10211      10126      10111          0          0 
      4549       5020      10211      10126      10111          0          0 


Throughput unaligned write vmovdqu [m],xmm

     Clock   Core cyc   Instruct   uops RAT       Uops     uop p0   Mov elim 
      9086      10358      10211      10143      20111          0          0 
      8762      10000      10211      10144      20111          0          0 
