In Bounds | Measured | Expected Bounds |     Diffs | Diffs/Measured
-----------------------------------------------------------------------------------------
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
True      |    13624 |   12375   14849 | 1249 1225 | 0.0917 0.0899
Avg min percent off: 9.168%
Avg max percent off: 8.991%
Variance percent off: [1.925929944387236e-34, 0.0]%
