In Bounds | Measured | Expected Bounds |     Diffs | Diffs/Measured
-----------------------------------------------------------------------------------------
True      |       66 |      59      78 |    7   12 | 0.1061 0.1818
True      |       66 |      59      78 |    7   12 | 0.1061 0.1818
True      |      117 |     101     136 |   16   19 | 0.1368 0.1624
True      |      117 |     101     136 |   16   19 | 0.1368 0.1624
True      |      168 |     143     194 |   25   26 | 0.1488 0.1548
True      |      168 |     143     194 |   25   26 | 0.1488 0.1548
True      |      219 |     185     252 |   34   33 | 0.1553 0.1507
True      |      219 |     185     252 |   34   33 | 0.1553 0.1507
True      |      270 |     227     310 |   43   40 | 0.1593 0.1481
True      |      270 |     227     310 |   43   40 | 0.1593 0.1481
True      |      321 |     269     368 |   52   47 | 0.162 0.1464
True      |      321 |     269     368 |   52   47 | 0.162 0.1464
True      |      372 |     311     426 |   61   54 | 0.164 0.1452
True      |      372 |     311     426 |   61   54 | 0.164 0.1452
True      |      423 |     353     484 |   70   61 | 0.1655 0.1442
True      |      423 |     353     484 |   70   61 | 0.1655 0.1442
True      |      474 |     395     542 |   79   68 | 0.1667 0.1435
True      |      474 |     395     542 |   79   68 | 0.1667 0.1435
True      |      525 |     437     600 |   88   75 | 0.1676 0.1429
True      |      525 |     437     600 |   88   75 | 0.1676 0.1429
True      |      576 |     479     658 |   97   82 | 0.1684 0.1424
True      |      576 |     479     658 |   97   82 | 0.1684 0.1424
True      |      627 |     521     716 |  106   89 | 0.1691 0.1419
True      |      627 |     521     716 |  106   89 | 0.1691 0.1419
True      |      678 |     563     774 |  115   96 | 0.1696 0.1416
True      |      678 |     563     774 |  115   96 | 0.1696 0.1416
True      |      729 |     605     832 |  124  103 | 0.1701 0.1413
True      |      729 |     605     832 |  124  103 | 0.1701 0.1413
True      |      780 |     647     890 |  133  110 | 0.1705 0.141
True      |      780 |     647     890 |  133  110 | 0.1705 0.141
True      |      831 |     689     948 |  142  117 | 0.1709 0.1408
True      |      831 |     689     948 |  142  117 | 0.1709 0.1408
True      |      882 |     731    1006 |  151  124 | 0.1712 0.1406
True      |      882 |     731    1006 |  151  124 | 0.1712 0.1406
True      |      933 |     773    1064 |  160  131 | 0.1715 0.1404
True      |      933 |     773    1064 |  160  131 | 0.1715 0.1404
True      |      984 |     815    1122 |  169  138 | 0.1717 0.1402
True      |      984 |     815    1122 |  169  138 | 0.1717 0.1402
True      |     1035 |     857    1180 |  178  145 | 0.172 0.1401
True      |     1035 |     857    1180 |  178  145 | 0.172 0.1401
True      |     1086 |     899    1238 |  187  152 | 0.1722 0.14
True      |     1086 |     899    1238 |  187  152 | 0.1722 0.14
True      |     1137 |     941    1296 |  196  159 | 0.1724 0.1398
True      |     1137 |     941    1296 |  196  159 | 0.1724 0.1398
True      |     1188 |     983    1354 |  205  166 | 0.1726 0.1397
True      |     1188 |     983    1354 |  205  166 | 0.1726 0.1397
True      |     1239 |    1025    1412 |  214  173 | 0.1727 0.1396
True      |     1239 |    1025    1412 |  214  173 | 0.1727 0.1396
True      |     1290 |    1067    1470 |  223  180 | 0.1729 0.1395
True      |     1290 |    1067    1470 |  223  180 | 0.1729 0.1395
True      |     1341 |    1109    1528 |  232  187 | 0.173 0.1394
True      |     1341 |    1109    1528 |  232  187 | 0.173 0.1394
True      |     1392 |    1151    1586 |  241  194 | 0.1731 0.1394
True      |     1392 |    1151    1586 |  241  194 | 0.1731 0.1394
True      |     1443 |    1193    1644 |  250  201 | 0.1733 0.1393
True      |     1443 |    1193    1644 |  250  201 | 0.1733 0.1393
True      |     1494 |    1235    1702 |  259  208 | 0.1734 0.1392
True      |     1494 |    1235    1702 |  259  208 | 0.1734 0.1392
True      |     1545 |    1277    1760 |  268  215 | 0.1735 0.1392
True      |     1545 |    1277    1760 |  268  215 | 0.1735 0.1392
True      |     1596 |    1319    1818 |  277  222 | 0.1736 0.1391
True      |     1596 |    1319    1818 |  277  222 | 0.1736 0.1391
True      |     1647 |    1361    1876 |  286  229 | 0.1736 0.139
True      |     1647 |    1361    1876 |  286  229 | 0.1736 0.139
True      |     1698 |    1403    1934 |  295  236 | 0.1737 0.139
True      |     1698 |    1403    1934 |  295  236 | 0.1737 0.139
True      |     1749 |    1445    1992 |  304  243 | 0.1738 0.1389
True      |     1749 |    1445    1992 |  304  243 | 0.1738 0.1389
True      |     1800 |    1487    2050 |  313  250 | 0.1739 0.1389
True      |     1800 |    1487    2050 |  313  250 | 0.1739 0.1389
True      |     1851 |    1529    2108 |  322  257 | 0.174 0.1388
True      |     1851 |    1529    2108 |  322  257 | 0.174 0.1388
True      |     1902 |    1571    2166 |  331  264 | 0.174 0.1388
True      |     1902 |    1571    2166 |  331  264 | 0.174 0.1388
True      |     1953 |    1613    2224 |  340  271 | 0.1741 0.1388
True      |     1953 |    1613    2224 |  340  271 | 0.1741 0.1388
True      |     2004 |    1655    2282 |  349  278 | 0.1742 0.1387
True      |     2004 |    1655    2282 |  349  278 | 0.1742 0.1387
True      |     2055 |    1697    2340 |  358  285 | 0.1742 0.1387
