In Bounds | Measured | Expected Bounds |     Diffs | Diffs/Measured
-----------------------------------------------------------------------------------------
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      300 |     270     333 |   30   33 | 0.1 0.11
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      300 |     270     333 |   30   33 | 0.1 0.11
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      300 |     270     333 |   30   33 | 0.1 0.11
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      300 |     270     333 |   30   33 | 0.1 0.11
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      300 |     270     333 |   30   33 | 0.1 0.11
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      300 |     270     333 |   30   33 | 0.1 0.11
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      300 |     270     333 |   30   33 | 0.1 0.11
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      300 |     270     333 |   30   33 | 0.1 0.11
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      300 |     270     333 |   30   33 | 0.1 0.11
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      135 |     125     153 |   10   18 | 0.0741 0.1333
True      |      300 |     270     333 |   30   33 | 0.1 0.11
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      432 |     386     477 |   46   45 | 0.1065 0.1042
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      432 |     386     477 |   46   45 | 0.1065 0.1042
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      432 |     386     477 |   46   45 | 0.1065 0.1042
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      432 |     386     477 |   46   45 | 0.1065 0.1042
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      432 |     386     477 |   46   45 | 0.1065 0.1042
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      432 |     386     477 |   46   45 | 0.1065 0.1042
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      432 |     386     477 |   46   45 | 0.1065 0.1042
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      432 |     386     477 |   46   45 | 0.1065 0.1042
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      432 |     386     477 |   46   45 | 0.1065 0.1042
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      267 |     241     297 |   26   30 | 0.0974 0.1124
True      |      432 |     386     477 |   46   45 | 0.1065 0.1042
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      564 |     502     621 |   62   57 | 0.1099 0.1011
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      564 |     502     621 |   62   57 | 0.1099 0.1011
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      564 |     502     621 |   62   57 | 0.1099 0.1011
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      564 |     502     621 |   62   57 | 0.1099 0.1011
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      564 |     502     621 |   62   57 | 0.1099 0.1011
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      564 |     502     621 |   62   57 | 0.1099 0.1011
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      564 |     502     621 |   62   57 | 0.1099 0.1011
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      564 |     502     621 |   62   57 | 0.1099 0.1011
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      564 |     502     621 |   62   57 | 0.1099 0.1011
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      399 |     357     441 |   42   42 | 0.1053 0.1053
True      |      564 |     502     621 |   62   57 | 0.1099 0.1011
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      696 |     618     765 |   78   69 | 0.1121 0.0991
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      696 |     618     765 |   78   69 | 0.1121 0.0991
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      696 |     618     765 |   78   69 | 0.1121 0.0991
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      696 |     618     765 |   78   69 | 0.1121 0.0991
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      696 |     618     765 |   78   69 | 0.1121 0.0991
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      696 |     618     765 |   78   69 | 0.1121 0.0991
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      696 |     618     765 |   78   69 | 0.1121 0.0991
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      696 |     618     765 |   78   69 | 0.1121 0.0991
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      696 |     618     765 |   78   69 | 0.1121 0.0991
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      531 |     473     585 |   58   54 | 0.1092 0.1017
True      |      696 |     618     765 |   78   69 | 0.1121 0.0991
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      828 |     734     909 |   94   81 | 0.1135 0.0978
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      828 |     734     909 |   94   81 | 0.1135 0.0978
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      828 |     734     909 |   94   81 | 0.1135 0.0978
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      828 |     734     909 |   94   81 | 0.1135 0.0978
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      828 |     734     909 |   94   81 | 0.1135 0.0978
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      828 |     734     909 |   94   81 | 0.1135 0.0978
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      828 |     734     909 |   94   81 | 0.1135 0.0978
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      828 |     734     909 |   94   81 | 0.1135 0.0978
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      828 |     734     909 |   94   81 | 0.1135 0.0978
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      663 |     589     729 |   74   66 | 0.1116 0.0995
True      |      828 |     734     909 |   94   81 | 0.1135 0.0978
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      960 |     850    1053 |  110   93 | 0.1146 0.0969
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      960 |     850    1053 |  110   93 | 0.1146 0.0969
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      960 |     850    1053 |  110   93 | 0.1146 0.0969
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      960 |     850    1053 |  110   93 | 0.1146 0.0969
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      960 |     850    1053 |  110   93 | 0.1146 0.0969
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      960 |     850    1053 |  110   93 | 0.1146 0.0969
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      960 |     850    1053 |  110   93 | 0.1146 0.0969
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      960 |     850    1053 |  110   93 | 0.1146 0.0969
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      960 |     850    1053 |  110   93 | 0.1146 0.0969
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      795 |     705     873 |   90   78 | 0.1132 0.0981
True      |      960 |     850    1053 |  110   93 | 0.1146 0.0969
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |     1092 |     966    1197 |  126  105 | 0.1154 0.0962
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |     1092 |     966    1197 |  126  105 | 0.1154 0.0962
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |     1092 |     966    1197 |  126  105 | 0.1154 0.0962
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |     1092 |     966    1197 |  126  105 | 0.1154 0.0962
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |     1092 |     966    1197 |  126  105 | 0.1154 0.0962
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |     1092 |     966    1197 |  126  105 | 0.1154 0.0962
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |     1092 |     966    1197 |  126  105 | 0.1154 0.0962
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |     1092 |     966    1197 |  126  105 | 0.1154 0.0962
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |     1092 |     966    1197 |  126  105 | 0.1154 0.0962
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |      927 |     821    1017 |  106   90 | 0.1143 0.0971
True      |     1092 |     966    1197 |  126  105 | 0.1154 0.0962
True      |     1059 |     937    1161 |  122  102 | 0.1152 0.0963
True      |     1059 |     937    1161 |  122  102 | 0.1152 0.0963
True      |     1224 |    1082    1341 |  142  117 | 0.116 0.0956
True      |     1059 |     937    1161 |  122  102 | 0.1152 0.0963
True      |     1059 |     937    1161 |  122  102 | 0.1152 0.0963
