In Bounds |   Len | Measured | Expected Bounds |      Diffs | Diffs/Measured
-----------------------------------------------------------------------------
True      |     1 |       43 |      39      47 |     4    4 | 0.0930 0.0930
True      |     2 |      124 |      99     127 |    25    3 | 0.2016 0.0242
True      |     3 |      243 |     199     263 |    44   20 | 0.1811 0.0823
True      |     4 |      440 |     339     455 |   101   15 | 0.2295 0.0341
True      |     5 |      694 |     519     703 |   175    9 | 0.2522 0.0130
True      |     6 |      963 |     739    1007 |   224   44 | 0.2326 0.0457
True      |     7 |     1285 |     999    1367 |   286   82 | 0.2226 0.0638
True      |     8 |     1774 |    1299    1783 |   475    9 | 0.2678 0.0051
True      |     9 |     2188 |    1639    2255 |   549   67 | 0.2509 0.0306
True      |    10 |     2660 |    2019    2783 |   641  123 | 0.2410 0.0462
True      |    11 |     3226 |    2439    3367 |   787  141 | 0.2440 0.0437
True      |    12 |     3892 |    2899    4007 |   993  115 | 0.2551 0.0295
True      |    13 |     4646 |    3399    4703 |  1247   57 | 0.2684 0.0123
True      |    14 |     5386 |    3939    5455 |  1447   69 | 0.2687 0.0128
True      |    15 |     5992 |    4519    6263 |  1473  271 | 0.2458 0.0452
True      |    16 |     7046 |    5139    7127 |  1907   81 | 0.2707 0.0115
True      |    17 |     7918 |    5799    8047 |  2119  129 | 0.2676 0.0163
True      |    18 |     8830 |    6499    9023 |  2331  193 | 0.2640 0.0219
True      |    19 |     9842 |    7239   10055 |  2603  213 | 0.2645 0.0216
True      |    20 |    10978 |    8019   11143 |  2959  165 | 0.2695 0.0150
True      |    21 |    11890 |    8839   12287 |  3051  397 | 0.2566 0.0334
True      |    22 |    13124 |    9699   13487 |  3425  363 | 0.2610 0.0277
True      |    23 |    14632 |   10599   14743 |  4033  111 | 0.2756 0.0076
True      |    24 |    15724 |   11539   16055 |  4185  331 | 0.2662 0.0211
True      |    25 |    17204 |   12519   17423 |  4685  219 | 0.2723 0.0127
True      |    26 |    18406 |   13539   18847 |  4867  441 | 0.2644 0.0240
True      |    27 |    19864 |   14599   20327 |  5265  463 | 0.2651 0.0233
True      |    28 |    21415 |   15699   21863 |  5716  448 | 0.2669 0.0209
True      |    29 |    22834 |   16839   23455 |  5995  621 | 0.2625 0.0272
True      |    30 |    24633 |   18019   25103 |  6614  470 | 0.2685 0.0191
True      |    31 |    26126 |   19239   26807 |  6887  681 | 0.2636 0.0261
True      |    32 |    27832 |   20499   28567 |  7333  735 | 0.2635 0.0264
True      |    33 |    29518 |   21799   30383 |  7719  865 | 0.2615 0.0293
True      |    34 |    31213 |   23139   32255 |  8074 1042 | 0.2587 0.0334
True      |    35 |    33178 |   24519   34183 |  8659 1005 | 0.2610 0.0303
True      |    36 |    35524 |   25939   36167 |  9585  643 | 0.2698 0.0181
True      |    37 |    37550 |   27399   38207 | 10151  657 | 0.2703 0.0175
True      |    38 |    39388 |   28899   40303 | 10489  915 | 0.2663 0.0232
True      |    39 |    41698 |   30439   42455 | 11259  757 | 0.2700 0.0182
True      |    40 |    43436 |   32019   44663 | 11417 1227 | 0.2628 0.0282
True      |    41 |    45922 |   33639   46927 | 12283 1005 | 0.2675 0.0219
True      |    42 |    47938 |   35299   49247 | 12639 1309 | 0.2637 0.0273
True      |    43 |    50702 |   36999   51623 | 13703  921 | 0.2703 0.0182
True      |    44 |    52816 |   38739   54055 | 14077 1239 | 0.2665 0.0235
True      |    45 |    55042 |   40519   56543 | 14523 1501 | 0.2639 0.0273
True      |    46 |    57470 |   42339   59087 | 15131 1617 | 0.2633 0.0281
True      |    47 |    60568 |   44199   61687 | 16369 1119 | 0.2703 0.0185
True      |    48 |    63232 |   46099   64343 | 17133 1111 | 0.2710 0.0176
True      |    49 |    65690 |   48039   67055 | 17651 1365 | 0.2687 0.0208
True      |    50 |    68470 |   50019   69823 | 18451 1353 | 0.2695 0.0198
True      |    51 |    71278 |   52039   72647 | 19239 1369 | 0.2699 0.0192
True      |    52 |    74264 |   54099   75527 | 20165 1263 | 0.2715 0.0170
True      |    53 |    77026 |   56199   78463 | 20827 1437 | 0.2704 0.0187
True      |    54 |    80722 |   58339   81455 | 22383  733 | 0.2773 0.0091
True      |    55 |    83114 |   60519   84503 | 22595 1389 | 0.2719 0.0167
True      |    56 |    85498 |   62739   87607 | 22759 2109 | 0.2662 0.0247
True      |    57 |    88924 |   64999   90767 | 23925 1843 | 0.2690 0.0207
True      |    58 |    90866 |   67299   93983 | 23567 3117 | 0.2594 0.0343
True      |    59 |    95296 |   69639   97255 | 25657 1959 | 0.2692 0.0206
True      |    60 |    97996 |   72019  100583 | 25977 2587 | 0.2651 0.0264
True      |    61 |   102098 |   74439  103967 | 27659 1869 | 0.2709 0.0183
True      |    62 |   105310 |   76899  107407 | 28411 2097 | 0.2698 0.0199
True      |    63 |   108310 |   79399  110903 | 28911 2593 | 0.2669 0.0239
True      |    64 |   112430 |   81939  114455 | 30491 2025 | 0.2712 0.0180
True      |    65 |   116530 |   84519  118063 | 32011 1533 | 0.2747 0.0132
True      |    66 |   119878 |   87139  121727 | 32739 1849 | 0.2731 0.0154
True      |    67 |   123650 |   89799  125447 | 33851 1797 | 0.2738 0.0145
True      |    68 |   128050 |   92499  129223 | 35551 1173 | 0.2776 0.0092
True      |    69 |   130480 |   95239  133055 | 35241 2575 | 0.2701 0.0197
True      |    70 |   135242 |   98019  136943 | 37223 1701 | 0.2752 0.0126
True      |    71 |   138364 |  100839  140887 | 37525 2523 | 0.2712 0.0182
True      |    72 |   141106 |  103699  144887 | 37407 3781 | 0.2651 0.0268
True      |    73 |   146870 |  106599  148943 | 40271 2073 | 0.2742 0.0141
True      |    74 |   151594 |  109539  153055 | 42055 1461 | 0.2774 0.0096
True      |    75 |   154696 |  112519  157223 | 42177 2527 | 0.2726 0.0163
True      |    76 |   157598 |  115539  161447 | 42059 3849 | 0.2669 0.0244
True      |    77 |   162964 |  118599  165727 | 44365 2763 | 0.2722 0.0170
True      |    78 |   166906 |  121699  170063 | 45207 3157 | 0.2709 0.0189
True      |    79 |   171140 |  124839  174455 | 46301 3315 | 0.2705 0.0194
True      |    80 |   176338 |  128019  178903 | 48319 2565 | 0.2740 0.0145
True      |    81 |   180502 |  131239  183407 | 49263 2905 | 0.2729 0.0161
True      |    82 |   184130 |  134499  187967 | 49631 3837 | 0.2695 0.0208
True      |    83 |   188602 |  137799  192583 | 50803 3981 | 0.2694 0.0211
True      |    84 |   192358 |  141139  197255 | 51219 4897 | 0.2663 0.0255
True      |    85 |   198974 |  144519  201983 | 54455 3009 | 0.2737 0.0151
True      |    86 |   203482 |  147939  206767 | 55543 3285 | 0.2730 0.0161
