  Len | Expected Min | Measured | Expected Max | Within Bounds | Diff Min | Diff Min % | Diff Max | Diff Max %
--------------------------------------------------------------------------------------------------------------
    1 |           47 |       43 |           47 | False         |        4 |       9.30 |        4 |       9.30
    2 |          123 |      124 |          135 | True          |        1 |       0.81 |       11 |       8.87
    3 |          251 |      243 |          287 | False         |        8 |       3.29 |       44 |      18.11
    4 |          431 |      440 |          503 | True          |        9 |       2.05 |       63 |      14.32
    5 |          663 |      694 |          783 | True          |       31 |       4.47 |       89 |      12.82
    6 |          947 |      963 |         1127 | True          |       16 |       1.66 |      164 |      17.03
    7 |         1283 |     1285 |         1535 | True          |        2 |       0.16 |      250 |      19.46
    8 |         1671 |     1774 |         2007 | True          |      103 |       5.81 |      233 |      13.13
    9 |         2111 |     2188 |         2543 | True          |       77 |       3.52 |      355 |      16.22
   10 |         2603 |     2660 |         3143 | True          |       57 |       2.14 |      483 |      18.16
   11 |         3147 |     3226 |         3807 | True          |       79 |       2.45 |      581 |      18.01
   12 |         3743 |     3892 |         4535 | True          |      149 |       3.83 |      643 |      16.52
   13 |         4391 |     4646 |         5327 | True          |      255 |       5.49 |      681 |      14.66
   14 |         5091 |     5386 |         6183 | True          |      295 |       5.48 |      797 |      14.80
   15 |         5843 |     5992 |         7103 | True          |      149 |       2.49 |     1111 |      18.54
   16 |         6647 |     7046 |         8087 | True          |      399 |       5.66 |     1041 |      14.77
   17 |         7503 |     7918 |         9135 | True          |      415 |       5.24 |     1217 |      15.37
   18 |         8411 |     8830 |        10247 | True          |      419 |       4.75 |     1417 |      16.05
   19 |         9371 |     9842 |        11423 | True          |      471 |       4.79 |     1581 |      16.06
   20 |        10383 |    10978 |        12663 | True          |      595 |       5.42 |     1685 |      15.35
   21 |        11447 |    11890 |        13967 | True          |      443 |       3.73 |     2077 |      17.47
   22 |        12563 |    13124 |        15335 | True          |      561 |       4.27 |     2211 |      16.85
   23 |        13731 |    14632 |        16767 | True          |      901 |       6.16 |     2135 |      14.59
   24 |        14951 |    15724 |        18263 | True          |      773 |       4.92 |     2539 |      16.15
   25 |        16223 |    17204 |        19823 | True          |      981 |       5.70 |     2619 |      15.22
   26 |        17547 |    18406 |        21447 | True          |      859 |       4.67 |     3041 |      16.52
   27 |        18923 |    19864 |        23135 | True          |      941 |       4.74 |     3271 |      16.47
   28 |        20351 |    21415 |        24887 | True          |     1064 |       4.97 |     3472 |      16.21
   29 |        21831 |    22834 |        26703 | True          |     1003 |       4.39 |     3869 |      16.94
   30 |        23363 |    24633 |        28583 | True          |     1270 |       5.16 |     3950 |      16.04
   31 |        24947 |    26126 |        30527 | True          |     1179 |       4.51 |     4401 |      16.85
   32 |        26583 |    27832 |        32535 | True          |     1249 |       4.49 |     4703 |      16.90
   33 |        28271 |    29518 |        34607 | True          |     1247 |       4.22 |     5089 |      17.24
   34 |        30011 |    31213 |        36743 | True          |     1202 |       3.85 |     5530 |      17.72
   35 |        31803 |    33178 |        38943 | True          |     1375 |       4.14 |     5765 |      17.38
   36 |        33647 |    35524 |        41207 | True          |     1877 |       5.28 |     5683 |      16.00
   37 |        35543 |    37550 |        43535 | True          |     2007 |       5.34 |     5985 |      15.94
   38 |        37491 |    39388 |        45927 | True          |     1897 |       4.82 |     6539 |      16.60
   39 |        39491 |    41698 |        48383 | True          |     2207 |       5.29 |     6685 |      16.03
   40 |        41543 |    43436 |        50903 | True          |     1893 |       4.36 |     7467 |      17.19
   41 |        43647 |    45922 |        53487 | True          |     2275 |       4.95 |     7565 |      16.47
   42 |        45803 |    47938 |        56135 | True          |     2135 |       4.45 |     8197 |      17.10
   43 |        48011 |    50702 |        58847 | True          |     2691 |       5.31 |     8145 |      16.06
   44 |        50271 |    52816 |        61623 | True          |     2545 |       4.82 |     8807 |      16.67
   45 |        52583 |    55042 |        64463 | True          |     2459 |       4.47 |     9421 |      17.12
   46 |        54947 |    57470 |        67367 | True          |     2523 |       4.39 |     9897 |      17.22
   47 |        57363 |    60568 |        70335 | True          |     3205 |       5.29 |     9767 |      16.13
   48 |        59831 |    63232 |        73367 | True          |     3401 |       5.38 |    10135 |      16.03
