In Bounds |   Len | Found Index | Measured | Expected Bounds |     Diffs | Diffs/Measured
-----------------------------------------------------------------------------------------
True      |     1 |           0 |       34 |      28      36 |    6    2 | 0.1765 0.0588
True      |     2 |          -1 |       72 |      62      78 |   10    6 | 0.1389 0.0833
True      |     3 |           0 |       34 |      28      36 |    6    2 | 0.1765 0.0588
True      |     4 |          -1 |      124 |     110     136 |   14   12 | 0.1129 0.0968
True      |     5 |          -1 |      150 |     134     165 |   16   15 | 0.1067 0.1
True      |     6 |           5 |      164 |     148     181 |   16   17 | 0.0976 0.1037
True      |     7 |          -1 |      202 |     182     223 |   20   21 | 0.099 0.104
True      |     8 |          -1 |      228 |     206     252 |   22   24 | 0.0965 0.1053
True      |     9 |           2 |       86 |      76      94 |   10    8 | 0.1163 0.093
True      |    10 |          -1 |      280 |     254     310 |   26   30 | 0.0929 0.1071
True      |    11 |          -1 |      306 |     278     339 |   28   33 | 0.0915 0.1078
True      |    12 |          -1 |      332 |     302     368 |   30   36 | 0.0904 0.1084
True      |    13 |          -1 |      358 |     326     397 |   32   39 | 0.0894 0.1089
True      |    14 |          -1 |      384 |     350     426 |   34   42 | 0.0885 0.1094
True      |    15 |           0 |       34 |      28      36 |    6    2 | 0.1765 0.0588
True      |    16 |          -1 |      436 |     398     484 |   38   48 | 0.0872 0.1101
True      |    17 |           9 |      268 |     244     297 |   24   29 | 0.0896 0.1082
True      |    18 |          12 |      346 |     316     384 |   30   38 | 0.0867 0.1098
True      |    19 |          -1 |      514 |     470     571 |   44   57 | 0.0856 0.1109
True      |    20 |          -1 |      540 |     494     600 |   46   60 | 0.0852 0.1111
True      |    21 |          -1 |      566 |     518     629 |   48   63 | 0.0848 0.1113
True      |    22 |           9 |      268 |     244     297 |   24   29 | 0.0896 0.1082
True      |    23 |          -1 |      618 |     566     687 |   52   69 | 0.0841 0.1117
True      |    24 |          -1 |      644 |     590     716 |   54   72 | 0.0839 0.1118
True      |    25 |          -1 |      670 |     614     745 |   56   75 | 0.0836 0.1119
True      |    26 |          -1 |      696 |     638     774 |   58   78 | 0.0833 0.1121
True      |    27 |          15 |      424 |     388     471 |   36   47 | 0.0849 0.1108
True      |    28 |          18 |      502 |     460     558 |   42   56 | 0.0837 0.1116
True      |    29 |          -1 |      774 |     710     861 |   64   87 | 0.0827 0.1124
True      |    30 |          23 |      632 |     580     703 |   52   71 | 0.0823 0.1123
True      |    31 |           9 |      268 |     244     297 |   24   29 | 0.0896 0.1082
True      |    32 |          -1 |      852 |     782     948 |   70   96 | 0.0822 0.1127
True      |    33 |           9 |      268 |     244     297 |   24   29 | 0.0896 0.1082
True      |    34 |          -1 |      904 |     830    1006 |   74  102 | 0.0819 0.1128
True      |    35 |          -1 |      930 |     854    1035 |   76  105 | 0.0817 0.1129
True      |    36 |          -1 |      956 |     878    1064 |   78  108 | 0.0816 0.113
True      |    37 |          -1 |      982 |     902    1093 |   80  111 | 0.0815 0.113
True      |    38 |           3 |      112 |     100     123 |   12   11 | 0.1071 0.0982
True      |    39 |          30 |      814 |     748     906 |   66   92 | 0.0811 0.113
True      |    40 |          38 |     1022 |     940    1138 |   82  116 | 0.0802 0.1135
True      |    41 |          17 |      476 |     436     529 |   40   53 | 0.084 0.1113
True      |    42 |          19 |      528 |     484     587 |   44   59 | 0.0833 0.1117
True      |    43 |          -1 |     1138 |    1046    1267 |   92  129 | 0.0808 0.1134
True      |    44 |          -1 |     1164 |    1070    1296 |   94  132 | 0.0808 0.1134
True      |    45 |          44 |     1178 |    1084    1312 |   94  134 | 0.0798 0.1138
True      |    46 |          30 |      814 |     748     906 |   66   92 | 0.0811 0.113
True      |    47 |          -1 |     1242 |    1142    1383 |  100  141 | 0.0805 0.1135
True      |    48 |          -1 |     1268 |    1166    1412 |  102  144 | 0.0804 0.1136
True      |    49 |          -1 |     1294 |    1190    1441 |  104  147 | 0.0804 0.1136
True      |    50 |          43 |     1152 |    1060    1283 |   92  131 | 0.0799 0.1137
True      |    51 |          -1 |     1346 |    1238    1499 |  108  153 | 0.0802 0.1137
True      |    52 |          -1 |     1372 |    1262    1528 |  110  156 | 0.0802 0.1137
True      |    53 |          21 |      580 |     532     645 |   48   65 | 0.0828 0.1121
True      |    54 |          -1 |     1424 |    1310    1586 |  114  162 | 0.0801 0.1138
True      |    55 |          -1 |     1450 |    1334    1615 |  116  165 | 0.08 0.1138
True      |    56 |          16 |      450 |     412     500 |   38   50 | 0.0844 0.1111
True      |    57 |          51 |     1360 |    1252    1515 |  108  155 | 0.0794 0.114
