In Bounds |   Len | Found Index | Measured | Expected Bounds |     Diffs | Diffs/Measured
-----------------------------------------------------------------------------------------
True      |     1 |           0 |       32 |      28      34 |    4    2 | 0.125 0.0625
True      |     2 |          -1 |       61 |      51      65 |   10    4 | 0.1639 0.0656
True      |     3 |           0 |       32 |      28      34 |    4    2 | 0.125 0.0625
True      |     4 |          -1 |       97 |      83     105 |   14    8 | 0.1443 0.0825
True      |     5 |          -1 |      115 |      99     125 |   16   10 | 0.1391 0.087
True      |     6 |           5 |      122 |     108     134 |   14   12 | 0.1148 0.0984
True      |     7 |          -1 |      151 |     131     165 |   20   14 | 0.1325 0.0927
True      |     8 |          -1 |      169 |     147     185 |   22   16 | 0.1302 0.0947
True      |     9 |           2 |       68 |      60      74 |    8    6 | 0.1176 0.0882
True      |    10 |          -1 |      205 |     179     225 |   26   20 | 0.1268 0.0976
True      |    11 |          -1 |      223 |     195     245 |   28   22 | 0.1256 0.0987
True      |    12 |          -1 |      241 |     211     265 |   30   24 | 0.1245 0.0996
True      |    13 |          -1 |      259 |     227     285 |   32   26 | 0.1236 0.1004
True      |    14 |          -1 |      277 |     243     305 |   34   28 | 0.1227 0.1011
True      |    15 |           0 |       32 |      28      34 |    4    2 | 0.125 0.0625
True      |    16 |          -1 |      313 |     275     345 |   38   32 | 0.1214 0.1022
True      |    17 |           9 |      194 |     172     214 |   22   20 | 0.1134 0.1031
True      |    18 |          12 |      248 |     220     274 |   28   26 | 0.1129 0.1048
True      |    19 |          -1 |      367 |     323     405 |   44   38 | 0.1199 0.1035
True      |    20 |          -1 |      385 |     339     425 |   46   40 | 0.1195 0.1039
True      |    21 |          -1 |      403 |     355     445 |   48   42 | 0.1191 0.1042
True      |    22 |           9 |      194 |     172     214 |   22   20 | 0.1134 0.1031
True      |    23 |          -1 |      439 |     387     485 |   52   46 | 0.1185 0.1048
True      |    24 |          -1 |      457 |     403     505 |   54   48 | 0.1182 0.105
True      |    25 |          -1 |      475 |     419     525 |   56   50 | 0.1179 0.1053
True      |    26 |          -1 |      493 |     435     545 |   58   52 | 0.1176 0.1055
True      |    27 |          15 |      302 |     268     334 |   34   32 | 0.1126 0.106
True      |    28 |          18 |      356 |     316     394 |   40   38 | 0.1124 0.1067
True      |    29 |          -1 |      547 |     483     605 |   64   58 | 0.117 0.106
True      |    30 |          23 |      446 |     396     494 |   50   48 | 0.1121 0.1076
True      |    31 |           9 |      194 |     172     214 |   22   20 | 0.1134 0.1031
True      |    32 |          -1 |      601 |     531     665 |   70   64 | 0.1165 0.1065
True      |    33 |           9 |      194 |     172     214 |   22   20 | 0.1134 0.1031
True      |    34 |          -1 |      637 |     563     705 |   74   68 | 0.1162 0.1068
True      |    35 |          -1 |      655 |     579     725 |   76   70 | 0.116 0.1069
True      |    36 |          -1 |      673 |     595     745 |   78   72 | 0.1159 0.107
True      |    37 |          -1 |      691 |     611     765 |   80   74 | 0.1158 0.1071
True      |    38 |           3 |       86 |      76      94 |   10    8 | 0.1163 0.093
True      |    39 |          30 |      572 |     508     634 |   64   62 | 0.1119 0.1084
True      |    40 |          38 |      716 |     636     794 |   80   78 | 0.1117 0.1089
True      |    41 |          17 |      338 |     300     374 |   38   36 | 0.1124 0.1065
True      |    42 |          19 |      374 |     332     414 |   42   40 | 0.1123 0.107
True      |    43 |          -1 |      799 |     707     885 |   92   86 | 0.1151 0.1076
True      |    44 |          -1 |      817 |     723     905 |   94   88 | 0.1151 0.1077
True      |    45 |          44 |      824 |     732     914 |   92   90 | 0.1117 0.1092
True      |    46 |          30 |      572 |     508     634 |   64   62 | 0.1119 0.1084
True      |    47 |          -1 |      871 |     771     965 |  100   94 | 0.1148 0.1079
True      |    48 |          -1 |      889 |     787     985 |  102   96 | 0.1147 0.108
True      |    49 |          -1 |      907 |     803    1005 |  104   98 | 0.1147 0.108
True      |    50 |          43 |      806 |     716     894 |   90   88 | 0.1117 0.1092
True      |    51 |          -1 |      943 |     835    1045 |  108  102 | 0.1145 0.1082
True      |    52 |          -1 |      961 |     851    1065 |  110  104 | 0.1145 0.1082
True      |    53 |          21 |      410 |     364     454 |   46   44 | 0.1122 0.1073
True      |    54 |          -1 |      997 |     883    1105 |  114  108 | 0.1143 0.1083
True      |    55 |          -1 |     1015 |     899    1125 |  116  110 | 0.1143 0.1084
True      |    56 |          16 |      320 |     284     354 |   36   34 | 0.1125 0.1062
True      |    57 |          51 |      950 |     844    1054 |  106  104 | 0.1116 0.1095
True      |    58 |          36 |      680 |     604     754 |   76   74 | 0.1118 0.1088
True      |    59 |          52 |      968 |     860    1074 |  108  106 | 0.1116 0.1095
True      |    60 |          42 |      788 |     700     874 |   88   86 | 0.1117 0.1091
True      |    61 |          38 |      716 |     636     794 |   80   78 | 0.1117 0.1089
True      |    62 |          47 |      878 |     780     974 |   98   96 | 0.1116 0.1093
True      |    63 |          -1 |     1159 |    1027    1285 |  132  126 | 0.1139 0.1087
True      |    64 |          -1 |     1177 |    1043    1305 |  134  128 | 0.1138 0.1088
True      |    65 |          -1 |     1195 |    1059    1325 |  136  130 | 0.1138 0.1088
True      |    66 |          -1 |     1213 |    1075    1345 |  138  132 | 0.1138 0.1088
True      |    67 |          -1 |     1231 |    1091    1365 |  140  134 | 0.1137 0.1089
True      |    68 |          43 |      806 |     716     894 |   90   88 | 0.1117 0.1092
True      |    69 |          53 |      986 |     876    1094 |  110  108 | 0.1116 0.1095
True      |    70 |          -1 |     1285 |    1139    1425 |  146  140 | 0.1136 0.1089
True      |    71 |          -1 |     1303 |    1155    1445 |  148  142 | 0.1136 0.109
True      |    72 |          26 |      500 |     444     554 |   56   54 | 0.112 0.108
True      |    73 |          -1 |     1339 |    1187    1485 |  152  146 | 0.1135 0.109
True      |    74 |          -1 |     1357 |    1203    1505 |  154  148 | 0.1135 0.1091
True      |    75 |          -1 |     1375 |    1219    1525 |  156  150 | 0.1135 0.1091
True      |    76 |          40 |      752 |     668     834 |   84   82 | 0.1117 0.109
True      |    77 |          44 |      824 |     732     914 |   92   90 | 0.1117 0.1092
True      |    78 |          26 |      500 |     444     554 |   56   54 | 0.112 0.108
True      |    79 |          -1 |     1447 |    1283    1605 |  164  158 | 0.1133 0.1092
True      |    80 |          -1 |     1465 |    1299    1625 |  166  160 | 0.1133 0.1092
True      |    81 |          -1 |     1483 |    1315    1645 |  168  162 | 0.1133 0.1092
True      |    82 |          54 |     1004 |     892    1114 |  112  110 | 0.1116 0.1096
True      |    83 |          60 |     1112 |     988    1234 |  124  122 | 0.1115 0.1097
True      |    84 |          75 |     1382 |    1228    1534 |  154  152 | 0.1114 0.11
True      |    85 |          38 |      716 |     636     794 |   80   78 | 0.1117 0.1089
True      |    86 |          -1 |     1573 |    1395    1745 |  178  172 | 0.1132 0.1093
True      |    87 |          -1 |     1591 |    1411    1765 |  180  174 | 0.1131 0.1094
True      |    88 |          24 |      464 |     412     514 |   52   50 | 0.1121 0.1078
True      |    89 |          -1 |     1627 |    1443    1805 |  184  178 | 0.1131 0.1094
True      |    90 |          12 |      248 |     220     274 |   28   26 | 0.1129 0.1048
True      |    91 |          19 |      374 |     332     414 |   42   40 | 0.1123 0.107
True      |    92 |          89 |     1634 |    1452    1814 |  182  180 | 0.1114 0.1102
True      |    93 |          86 |     1580 |    1404    1754 |  176  174 | 0.1114 0.1101
True      |    94 |          22 |      428 |     380     474 |   48   46 | 0.1121 0.1075
True      |    95 |          47 |      878 |     780     974 |   98   96 | 0.1116 0.1093
True      |    96 |          -1 |     1753 |    1555    1945 |  198  192 | 0.1129 0.1095
True      |    97 |          -1 |     1771 |    1571    1965 |  200  194 | 0.1129 0.1095
True      |    98 |          -1 |     1789 |    1587    1985 |  202  196 | 0.1129 0.1096
True      |    99 |          83 |     1526 |    1356    1694 |  170  168 | 0.1114 0.1101
True      |   100 |          -1 |     1825 |    1619    2025 |  206  200 | 0.1129 0.1096
True      |   101 |          -1 |     1843 |    1635    2045 |  208  202 | 0.1129 0.1096
True      |   102 |          43 |      806 |     716     894 |   90   88 | 0.1117 0.1092
True      |   103 |          58 |     1076 |     956    1194 |  120  118 | 0.1115 0.1097
True      |   104 |          54 |     1004 |     892    1114 |  112  110 | 0.1116 0.1096
True      |   105 |          37 |      698 |     620     774 |   78   76 | 0.1117 0.1089
True      |   106 |          -1 |     1933 |    1715    2145 |  218  212 | 0.1128 0.1097
True      |   107 |          -1 |     1951 |    1731    2165 |  220  214 | 0.1128 0.1097
True      |   108 |          -1 |     1969 |    1747    2185 |  222  216 | 0.1127 0.1097
True      |   109 |          -1 |     1987 |    1763    2205 |  224  218 | 0.1127 0.1097
True      |   110 |          -1 |     2005 |    1779    2225 |  226  220 | 0.1127 0.1097
True      |   111 |          56 |     1040 |     924    1154 |  116  114 | 0.1115 0.1096
True      |   112 |          39 |      734 |     652     814 |   82   80 | 0.1117 0.109
True      |   113 |           1 |       50 |      44      54 |    6    4 | 0.12 0.08
True      |   114 |          -1 |     2077 |    1843    2305 |  234  228 | 0.1127 0.1098
True      |   115 |          -1 |     2095 |    1859    2325 |  236  230 | 0.1126 0.1098
