
=== Processing find_in_list ===

In Bounds | Length  | Arguments                 | Measured | Min - Max       | Diffs           | Percent Off
True      |       1 |              [1, 0, 0, 0] |       19 |      17      25 |       2       6 | 0.1053 0.3158
True      |       2 |              [2, 0, 0, 0] |       19 |      17      25 |       2       6 | 0.1053 0.3158
True      |       3 |              [3, 1, 0, 0] |       41 |      36      51 |       5      10 | 0.122 0.2439
True      |       4 |              [4, 0, 0, 0] |       19 |      17      25 |       2       6 | 0.1053 0.3158
True      |       5 |             [5, -1, 0, 0] |      144 |     105     146 |      39       2 | 0.2708 0.0139
True      |       6 |             [6, -1, 0, 0] |      166 |     124     172 |      42       6 | 0.253 0.0361
True      |       7 |              [7, 1, 0, 0] |       41 |      36      51 |       5      10 | 0.122 0.2439
True      |       8 |             [8, -1, 0, 0] |      210 |     162     224 |      48      14 | 0.2286 0.0667
True      |       9 |             [9, -1, 0, 0] |      232 |     181     250 |      51      18 | 0.2198 0.0776
True      |      10 |            [10, -1, 0, 0] |      254 |     200     276 |      54      22 | 0.2126 0.0866
True      |      11 |            [11, 10, 0, 0] |      239 |     207     285 |      32      46 | 0.1339 0.1925
True      |      12 |            [12, -1, 0, 0] |      298 |     238     328 |      60      30 | 0.2013 0.1007
True      |      13 |             [13, 0, 0, 0] |       19 |      17      25 |       2       6 | 0.1053 0.3158
True      |      14 |            [14, -1, 0, 0] |      342 |     276     380 |      66      38 | 0.193 0.1111
True      |      15 |             [15, 9, 0, 0] |      217 |     188     259 |      29      42 | 0.1336 0.1935
True      |      16 |            [16, 10, 0, 0] |      239 |     207     285 |      32      46 | 0.1339 0.1925
True      |      17 |            [17, -1, 0, 0] |      408 |     333     458 |      75      50 | 0.1838 0.1225
True      |      18 |            [18, 12, 0, 0] |      283 |     245     337 |      38      54 | 0.1343 0.1908
True      |      19 |            [19, -1, 0, 0] |      452 |     371     510 |      81      58 | 0.1792 0.1283
True      |      20 |            [20, 18, 0, 0] |      415 |     359     493 |      56      78 | 0.1349 0.188
True      |      21 |            [21, -1, 0, 0] |      496 |     409     562 |      87      66 | 0.1754 0.1331
True      |      22 |            [22, -1, 0, 0] |      518 |     428     588 |      90      70 | 0.1737 0.1351
True      |      23 |            [23, -1, 0, 0] |      540 |     447     614 |      93      74 | 0.1722 0.137
True      |      24 |             [24, 7, 0, 0] |      173 |     150     207 |      23      34 | 0.1329 0.1965
True      |      25 |            [25, -1, 0, 0] |      584 |     485     666 |      99      82 | 0.1695 0.1404
True      |      26 |            [26, 14, 0, 0] |      327 |     283     389 |      44      62 | 0.1346 0.1896
True      |      27 |            [27, 25, 0, 0] |      569 |     492     675 |      77     106 | 0.1353 0.1863
True      |      28 |            [28, -1, 0, 0] |      650 |     542     744 |     108      94 | 0.1662 0.1446
True      |      29 |            [29, -1, 0, 0] |      672 |     561     770 |     111      98 | 0.1652 0.1458
